City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Katsuura,JP,35.1333,140.3,53.19,59,100,13.35,overcast clouds
189,Vostok,RU,46.4856,135.8833,6.15,84,100,3.8,overcast clouds
190,Castro,BR,-24.7911,-50.0119,66.92,90,100,2.08,overcast clouds
191,Pisco,PE,-13.7,-76.2167,71.02,78,0,19.57,clear sky
192,Lovozero,RU,68.005,35.0117,3.36,92,94,5.1,overcast clouds
193,Tzaneen,ZA,-23.8332,30.1635,67.41,98,100,2.46,light rain
194,Krasnyy Chikoy,RU,50.3643,108.7512,-8.12,98,73,1.81,broken clouds
195,Alofi,NU,-19.0595,-169.9187,85.89,74,40,6.91,scattered clouds
196,Lerwick,GB,60.1545,-1.1494,42.8,85,100,36.35,overcast clouds
197,Luderitz,NA,-26.6481,15.1594,68.13,71,3,19.57,clear sky
198,Dingle,PH,10.9995,122.6711,83.26,76,96,10.27,overcast clouds
199,Mamallapuram,IN,12.6264,80.1722,78.06,73,85,4.45,overcast clouds
200,Butaritari,KI,3.0707,172.7902,82.09,78,16,13.51,light rain
201,Funtua,NG,11.5233,7.3081,57.45,24,0,11.61,clear sky
202,Pandrup,DK,57.2215,9.6757,43.95,100,75,24.16,light intensity drizzle
203,Faanui,PF,-16.4833,-151.75,81.09,77,23,17.76,light rain
204,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,11.5,broken clouds
205,Tiksi,RU,71.6872,128.8694,0.54,88,73,17.2,broken clouds
206,Aksehir,TR,38.3575,31.4164,8.08,99,75,2.24,broken clouds
207,Ulladulla,AU,-35.35,150.4667,77.09,51,4,15.84,clear sky
208,Haines Junction,CA,60.7522,-137.5108,12.2,98,100,0.43,overcast clouds
209,Peterhead,GB,57.5058,-1.7981,47.1,69,23,36.53,few clouds
210,Bekhtery,UA,46.251,32.2927,24.1,88,79,9.62,broken clouds
211,Cogealac,RO,44.55,28.5667,31.5,93,69,5.66,broken clouds
212,Broome,US,42.2506,-75.833,8.55,77,9,1.01,clear sky
213,Denpasar,ID,-8.65,115.2167,78.46,100,75,16.11,broken clouds
214,Roseburg,US,43.2165,-123.3417,43.34,82,0,0.0,clear sky
215,Stromness,GB,58.965,-3.296,44.85,81,100,37.69,overcast clouds
216,Sistranda,NO,63.7256,8.834,37.9,97,100,9.6,overcast clouds
217,Thompson,CA,55.7435,-97.8558,-9.8,85,100,13.38,overcast clouds
218,Bengkulu,ID,-3.8004,102.2655,80.35,77,100,2.1,overcast clouds
219,Opole Lubelskie,PL,51.1478,21.969,34.81,96,100,14.16,light snow
220,Honningsvag,NO,70.9821,25.9704,30.0,78,100,8.95,light snow
221,Banda Aceh,ID,5.5577,95.3222,81.37,74,43,3.15,scattered clouds
222,Maracas,BR,-13.4411,-40.4308,63.46,98,66,5.06,light rain
223,Egvekinot,RU,66.3167,-179.1667,-13.09,88,100,1.86,overcast clouds
224,Rosetta,EG,31.4044,30.4164,54.86,51,100,26.6,overcast clouds
225,Ayagoz,KZ,47.9714,80.4392,-1.53,100,99,1.99,overcast clouds
226,Cedar City,US,37.6775,-113.0619,30.4,45,0,0.0,clear sky
227,Kenai,US,60.5544,-151.2583,24.15,74,100,10.36,light snow
228,Krutikha,RU,53.9599,81.2093,-13.72,100,97,2.8,overcast clouds
229,Alihe,CN,50.5667,123.7167,4.17,78,12,3.33,few clouds
230,Chuy,UY,-33.6971,-53.4616,71.69,87,100,16.98,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,40,4.61,light rain
232,Madang,PG,-5.2246,145.7966,86.74,65,100,2.98,light rain
233,Conde,BR,-7.2597,-34.9075,74.66,100,20,0.0,light rain
234,Nome,US,64.5011,-165.4064,-16.53,76,0,0.0,clear sky
235,Jumla,NP,29.2747,82.1838,24.58,61,4,4.54,clear sky
236,Nantucket,US,41.2835,-70.0995,24.1,58,97,20.69,overcast clouds
237,Vardo,NO,70.3705,31.1107,25.97,72,100,14.54,overcast clouds
238,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,79,75,8.01,broken clouds
239,Fortuna,US,40.5982,-124.1573,47.19,92,100,1.01,overcast clouds
240,Qaanaaq,GL,77.484,-69.3632,-8.79,60,69,8.72,broken clouds
241,Raboso,MX,18.5667,-98.45,66.83,38,0,3.04,clear sky
242,San Carlos De Bariloche,AR,-41.1456,-71.3082,61.77,72,0,4.47,clear sky
243,Sechura,PE,-5.5569,-80.8222,72.9,72,80,15.43,broken clouds
244,Yar-Sale,RU,66.8333,70.8333,6.66,94,100,9.53,overcast clouds
245,Maragogi,BR,-9.0122,-35.2225,77.14,84,4,8.34,clear sky
246,Eyl,SO,7.9803,49.8164,68.63,74,100,12.66,overcast clouds
247,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.09,95,100,1.45,overcast clouds
248,Ayan,RU,56.45,138.1667,1.51,63,100,7.31,overcast clouds
249,Salinopolis,BR,-0.6136,-47.3561,79.29,82,100,7.65,overcast clouds
250,Darnah,LY,32.767,22.6367,50.74,84,100,12.01,overcast clouds
251,Aswan,EG,24.0934,32.907,44.28,55,0,11.61,clear sky
252,Orlik,RU,52.5178,99.825,-18.08,92,90,1.88,overcast clouds
253,La Orilla,MX,17.9833,-102.2333,75.42,73,64,1.86,broken clouds
254,Ishigaki,JP,24.3448,124.1572,71.04,73,98,10.18,overcast clouds
255,Porto Seguro,BR,-16.4497,-39.0647,73.92,94,0,5.75,clear sky
256,Santa Fe,AR,-31.6333,-60.7,77.02,83,82,8.01,broken clouds
257,Hami,CN,42.8,93.45,22.21,44,9,2.17,clear sky
258,Padang,ID,-0.9492,100.3543,80.65,71,100,2.21,overcast clouds
259,Purpe,RU,64.4803,76.6897,-1.98,96,100,13.06,overcast clouds
260,Podporozhye,RU,60.9112,34.1706,16.05,90,100,7.9,overcast clouds
261,Saint George,US,37.1041,-113.5841,47.62,30,0,5.01,clear sky
262,Baykit,RU,61.67,96.37,-21.87,100,60,0.78,broken clouds
263,Wuwei,CN,37.9281,102.6414,22.3,54,100,0.47,overcast clouds
264,Portland,US,45.5234,-122.6762,43.21,73,20,1.01,few clouds
265,Barrow,US,71.2906,-156.7887,-12.98,70,0,12.66,clear sky
266,Marawi,PH,7.9986,124.2928,73.65,63,77,1.01,broken clouds
267,Mindelo,CV,16.8901,-24.9804,71.15,68,75,28.77,broken clouds
268,Caucaia,BR,-3.7361,-38.6531,82.04,75,75,8.05,broken clouds
269,Maputo,MZ,-25.9653,32.5892,74.23,89,71,0.43,moderate rain
270,Waddan,LY,29.1614,16.139,41.94,66,4,2.8,clear sky
271,Norman Wells,CA,65.282,-126.8329,-6.2,95,33,2.1,scattered clouds
272,Cidreira,BR,-30.1811,-50.2056,74.23,95,100,4.88,overcast clouds
273,Borovoy,RU,55.4333,86.0833,2.48,92,40,2.24,scattered clouds
274,Pangnirtung,CA,66.1451,-65.7125,-23.94,96,100,4.72,overcast clouds
